"","namn","stad","citizen","religious","experience","sweden","poland","iraq","somalia","woman","skilledjob","invited","city1","city2","city3","city4","city5","city6","city7","immigrant","time"
"1","Sarah Amari","Stockholm",1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0.200455393151441
"2","Ahmed Amari","Stockholm",0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0.200455393149898
"3","Awa Zakaria","Stockholm",0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0.200455393150045
"4","Ahmed Amari","Stockholm",0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0.171450351320096
"5","Khalid Zakaria","Stockholm",0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0.171450351320693
"6","Malin Svensson","Stockholm",1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.171450351321289
"7","Khalid Zakaria","Stockholm",0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0.171450351321886
"8","Sarah Amari","Stockholm",0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0.171450351322482
"9","Antoni Kowalski","Stockholm",0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0.171450351323079
"10","Julia Kowalski","Stockholm",0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0.171450351323676
"11","Julia Kowalski","Stockholm",0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0.172278394458455
"12","Awa Zakaria","Stockholm",0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0.172278394458188
"13","Khalid Zakaria","Stockholm",1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0.172278394457921
"14","Malin Svensson","Stockholm",1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.172278394458806
"15","Antoni Kowalski","Stockholm",1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0.172278394458539
"16","Erik Svensson","Stockholm",1,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0.172278394458272
"17","Erik Svensson","Stockholm",1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.172278394458005
"18","Julia Kowalski","Stockholm",0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0.172278394457738
"19","Awa Zakaria","Stockholm",1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0.172278394457471
"20","Ahmed Amari","Stockholm",1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0.172278394457204
"21","Khalid Zakaria","Stockholm",1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0.172278394456937
"22","Ahmed Amari","Stockholm",1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0.17227839445667
"23","Antoni Kowalski","Stockholm",1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0.172278394456403
"24","Ahmed Amari","Stockholm",0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0.172278394456135
"25","Julia Kowalski","Stockholm",1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0.172278394457021
"26","Sarah Amari","Stockholm",0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0.172278394456754
"27","Antoni Kowalski","Stockholm",0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0.172278394456486
"28","Awa Zakaria","Stockholm",0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0.172278394456219
"29","Julia Kowalski","Stockholm",1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0.172278394455952
"30","Julia Kowalski","Stockholm",0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0.172278394455685
"31","Khalid Zakaria","Stockholm",0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0.172278394455418
"32","Antoni Kowalski","Stockholm",0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0.166826654402862
